,구,구별 총 노인수,구별 노인 비율,구별 문화생활 수,구별 버스 정보 안내기 수,동,동별 총 노인수,동별 노인 비율,동별 문화생활 수,동별 버스 정보 안내기 수,노인정 수,무료급식소 수
0,마산합포구,28761,15.809870381160744,0,150,구산면,1356,27.278213639106824,0,5,30,0
1,마산합포구,28761,15.809870381160744,0,150,진동면,1814,14.38084667829396,0,9,33,0
2,마산합포구,28761,15.809870381160744,0,150,진북면,1103,26.70702179176756,0,6,30,0
3,마산합포구,28761,15.809870381160744,0,150,진전면,1601,36.585923217550274,0,4,45,0
4,마산합포구,28761,15.809870381160744,0,150,현동,636,16.736842105263158,0,13,13,0
5,마산합포구,28761,15.809870381160744,0,150,가포동,254,19.1553544494721,0,1,3,0
6,마산합포구,28761,15.809870381160744,0,150,월영동,3242,10.377720870678617,0,25,33,1
7,마산합포구,28761,15.809870381160744,0,150,문화동,2158,16.419386745796242,0,8,13,1
8,마산합포구,28761,15.809870381160744,0,150,반월중앙동,2690,14.982733652667928,0,12,16,1
9,마산합포구,28761,15.809870381160744,0,150,완월동,1763,15.556339892349774,0,10,10,0
10,마산합포구,28761,15.809870381160744,0,150,자산동,2030,15.143603133159267,0,4,14,1
11,마산합포구,28761,15.809870381160744,0,150,오동동,1882,16.935121029424998,0,28,21,1
12,마산합포구,28761,15.809870381160744,0,150,교방동,1567,13.874623693996814,0,9,12,0
13,마산합포구,28761,15.809870381160744,0,150,합포동,1479,19.215278680005195,0,6,10,0
14,마산합포구,28761,15.809870381160744,0,150,산호동,1998,13.958362442364118,0,10,11,0
15,의창구,23199,8.932277328363899,15,245,동읍,3061,13.073933284927175,1,30,66,1
16,의창구,23199,8.932277328363899,15,245,북면,3068,11.123599579420617,0,29,65,1
17,의창구,23199,8.932277328363899,15,245,대산면,1846,24.515272244355913,1,6,50,0
18,의창구,23199,8.932277328363899,15,245,의창동,3684,9.618547818594816,3,29,16,1
19,의창구,23199,8.932277328363899,15,245,팔룡동,2363,5.698095008439837,2,56,15,0
20,의창구,23199,8.932277328363899,15,245,명곡동,3809,7.186928055246326,3,33,12,1
21,의창구,23199,8.932277328363899,15,245,봉림동,3140,8.38518439394344,3,31,15,1
22,의창구,23199,8.932277328363899,15,245,용지동,2228,7.1917366042608135,2,31,13,2
23,마산회원구,24680,11.612696799450418,0,203,내서읍,5752,7.982458575036776,0,52,63,1
24,마산회원구,24680,11.612696799450418,0,203,회원1동,2210,17.778135306894054,0,31,8,0
25,마산회원구,24680,11.612696799450418,0,203,회원2동,2396,17.29464414609499,0,10,12,2
26,마산회원구,24680,11.612696799450418,0,203,석전동,2636,14.735312203029794,0,17,15,1
27,마산회원구,24680,11.612696799450418,0,203,회성동,1458,18.788659793814432,0,12,10,0
28,마산회원구,24680,11.612696799450418,0,203,양덕1동,1661,12.568099273607745,0,17,7,0
29,마산회원구,24680,11.612696799450418,0,203,양덕2동,2604,8.976215098241985,0,14,20,0
30,마산회원구,24680,11.612696799450418,0,203,합성1동,1322,15.354239256678284,0,7,8,0
31,마산회원구,24680,11.612696799450418,0,203,합성2동,1380,13.398058252427184,0,11,5,0
32,마산회원구,24680,11.612696799450418,0,203,구암1동,1432,12.491277041172365,0,9,7,0
33,마산회원구,24680,11.612696799450418,0,203,구암2동,1286,11.219682428895482,0,10,10,0
34,마산회원구,24680,11.612696799450418,0,203,봉암동,543,12.142218246869408,0,13,7,0
35,성산구,12302,5.1824952817471015,11,197,반송동,2705,5.6116839200879625,1,47,12,1
36,성산구,12302,5.1824952817471015,11,197,중앙동,1446,5.866363747007992,2,23,13,0
37,성산구,12302,5.1824952817471015,11,197,상남동,1427,4.428101532923726,1,26,9,0
38,성산구,12302,5.1824952817471015,11,197,사파동,2686,4.914463452566097,2,40,20,2
39,성산구,12302,5.1824952817471015,11,197,가음정동,1967,5.082162050434063,3,24,19,0
40,성산구,12302,5.1824952817471015,11,197,성주동,1115,3.8253053382736377,1,14,12,0
41,성산구,12302,5.1824952817471015,11,197,웅남동,956,9.764069042998672,1,23,10,0
42,진해구,20026,11.027715215559725,0,165,충무동,2706,12.906610703043025,0,19,21,1
43,진해구,20026,11.027715215559725,0,165,여좌동,2422,20.12965425531915,0,16,15,0
44,진해구,20026,11.027715215559725,0,165,태백동,1431,21.02556567734352,0,2,10,1
45,진해구,20026,11.027715215559725,0,165,경화동,1540,13.843941028407047,0,20,9,0
46,진해구,20026,11.027715215559725,0,165,병암동,1200,13.455931823278766,0,3,5,0
47,진해구,20026,11.027715215559725,0,165,석동,1222,6.1942416869424175,0,13,12,0
48,진해구,20026,11.027715215559725,0,165,이동,1445,12.730155933397937,0,7,8,1
49,진해구,20026,11.027715215559725,0,165,자은동,1161,9.348578790562847,0,23,16,1
50,진해구,20026,11.027715215559725,0,165,덕산동,1193,9.637288957104774,0,3,7,0
51,진해구,20026,11.027715215559725,0,165,풍호동,1635,9.092425759092427,0,16,19,1
52,진해구,20026,11.027715215559725,0,165,웅천동,1057,24.51298701298701,0,14,22,1
53,진해구,20026,11.027715215559725,0,165,웅동1동,923,10.588505219685672,0,11,16,1
54,진해구,20026,11.027715215559725,0,165,웅동2동,2091,5.99776267102659,0,18,24,1
