,구,구별 총 노인수,구별 노인 비율,구별 문화생활 수,구별 버스 정보 안내기 수,동,동별 총 노인수,동별 노인 비율,동별 문화생활 수,동별 버스 정보 안내기 수,노인정 수,무료급식소 수,동별 총 독거노인 수,구별 총 독거노인 수
0,마산합포구,28761,15.8098703811607,0,150,구산면,1356,27.2782136391068,0,5,30,0,498,10326
1,마산합포구,28761,15.8098703811607,0,150,진동면,1814,14.3808466782939,0,9,33,0,645,10326
2,마산합포구,28761,15.8098703811607,0,150,진북면,1103,26.7070217917675,0,6,30,0,411,10326
3,마산합포구,28761,15.8098703811607,0,150,진전면,1601,36.5859232175502,0,4,45,0,616,10326
4,마산합포구,28761,15.8098703811607,0,150,현동,636,16.7368421052631,0,13,13,0,447,10326
5,마산합포구,28761,15.8098703811607,0,150,가포동,254,19.1553544494721,0,1,3,0,66,10326
6,마산합포구,28761,15.8098703811607,0,150,월영동,3242,10.3777208706786,0,25,33,2,924,10326
7,마산합포구,28761,15.8098703811607,0,150,문화동,2158,16.4193867457962,0,8,13,2,766,10326
8,마산합포구,28761,15.8098703811607,0,150,반월중앙동,2690,14.9827336526679,0,12,16,2,923,10326
9,마산합포구,28761,15.8098703811607,0,150,완월동,1763,15.5563398923497,0,10,10,1,526,10326
10,마산합포구,28761,15.8098703811607,0,150,자산동,2030,15.1436031331592,0,4,14,1,711,10326
11,마산합포구,28761,15.8098703811607,0,150,오동동,1882,16.9351210294249,0,28,21,1,1525,10326
12,마산합포구,28761,15.8098703811607,0,150,교방동,1567,13.8746236939968,0,9,12,0,906,10326
13,마산합포구,28761,15.8098703811607,0,150,합포동,1479,19.2152786800051,0,6,10,0,626,10326
14,마산합포구,28761,15.8098703811607,0,150,산호동,1998,13.9583624423641,0,10,11,0,736,10326
15,의창구,23199,8.93227732836389,15,245,동읍,3061,13.0739332849271,1,30,66,3,1091,7784
16,의창구,23199,8.93227732836389,15,245,북면,3068,11.1235995794206,0,29,65,3,997,7784
17,의창구,23199,8.93227732836389,15,245,대산면,1846,24.5152722443559,1,6,50,3,685,7784
18,의창구,23199,8.93227732836389,15,245,의창동,3684,9.61854781859481,3,29,16,6,1343,7784
19,의창구,23199,8.93227732836389,15,245,팔룡동,2363,5.69809500843983,2,56,15,3,595,7784
20,의창구,23199,8.93227732836389,15,245,명곡동,3809,7.18692805524632,3,33,12,6,1261,7784
21,의창구,23199,8.93227732836389,15,245,봉림동,3140,8.38518439394344,3,31,15,5,1143,7784
22,의창구,23199,8.93227732836389,15,245,용지동,2228,7.19173660426081,2,31,13,6,669,7784
23,마산회원구,24680,11.6126967994504,0,203,내서읍,5752,7.98245857503677,0,52,63,1,1848,8378
24,마산회원구,24680,11.6126967994504,0,203,회원1동,2210,17.778135306894,0,31,8,1,868,8378
25,마산회원구,24680,11.6126967994504,0,203,회원2동,2396,17.2946441460949,0,10,12,2,532,8378
26,마산회원구,24680,11.6126967994504,0,203,석전동,2636,14.7353122030297,0,17,15,1,974,8378
27,마산회원구,24680,11.6126967994504,0,203,회성동,1458,18.7886597938144,0,12,10,0,550,8378
28,마산회원구,24680,11.6126967994504,0,203,양덕1동,1661,12.5680992736077,0,17,7,1,648,8378
29,마산회원구,24680,11.6126967994504,0,203,양덕2동,2604,8.97621509824198,0,14,20,0,701,8378
30,마산회원구,24680,11.6126967994504,0,203,합성1동,1322,15.3542392566782,0,7,8,0,537,8378
31,마산회원구,24680,11.6126967994504,0,203,합성2동,1380,13.3980582524271,0,11,5,0,516,8378
32,마산회원구,24680,11.6126967994504,0,203,구암1동,1432,12.4912770411723,0,9,7,0,536,8378
33,마산회원구,24680,11.6126967994504,0,203,구암2동,1286,11.2196824288954,0,10,10,0,438,8378
34,마산회원구,24680,11.6126967994504,0,203,봉암동,543,12.1422182468694,0,13,7,0,230,8378
35,성산구,12302,5.1824952817471,11,197,반송동,2705,5.61168392008796,1,47,12,2,697,3430
36,성산구,12302,5.1824952817471,11,197,중앙동,1446,5.86636374700799,2,23,13,10,504,3430
37,성산구,12302,5.1824952817471,11,197,상남동,1427,4.42810153292372,1,26,9,2,298,3430
38,성산구,12302,5.1824952817471,11,197,사파동,2686,4.91446345256609,2,40,20,4,840,3430
39,성산구,12302,5.1824952817471,11,197,가음정동,1967,5.08216205043406,3,24,19,1,585,3430
40,성산구,12302,5.1824952817471,11,197,성주동,1115,3.82530533827363,1,14,12,1,222,3430
41,성산구,12302,5.1824952817471,11,197,웅남동,956,9.76406904299867,1,23,10,1,284,3430
42,진해구,20026,11.0277152155597,0,165,충무동,2706,12.906610703043,0,19,21,3,910,7043
43,진해구,20026,11.0277152155597,0,165,여좌동,2422,20.1296542553191,0,16,15,0,810,7043
44,진해구,20026,11.0277152155597,0,165,태백동,1431,21.0255656773435,0,2,10,1,560,7043
45,진해구,20026,11.0277152155597,0,165,경화동,1540,13.843941028407,0,20,9,0,464,7043
46,진해구,20026,11.0277152155597,0,165,병암동,1200,13.4559318232787,0,3,5,0,451,7043
47,진해구,20026,11.0277152155597,0,165,석동,1222,6.19424168694241,0,13,12,0,296,7043
48,진해구,20026,11.0277152155597,0,165,이동,1445,12.7301559333979,0,7,8,1,501,7043
49,진해구,20026,11.0277152155597,0,165,자은동,1161,9.34857879056284,0,23,16,2,692,7043
50,진해구,20026,11.0277152155597,0,165,덕산동,1193,9.63728895710477,0,3,7,0,363,7043
51,진해구,20026,11.0277152155597,0,165,풍호동,1635,9.09242575909242,0,16,19,1,445,7043
52,진해구,20026,11.0277152155597,0,165,웅천동,1057,24.512987012987,0,14,22,1,420,7043
53,진해구,20026,11.0277152155597,0,165,웅동1동,923,10.5885052196856,0,11,16,1,311,7043
54,진해구,20026,11.0277152155597,0,165,웅동2동,2091,5.99776267102659,0,18,24,1,820,7043
