,구,동,동별 총 독거노인 수,구별 총 독거노인 수
0,의창구,동읍,1091,7784
1,의창구,북면,997,7784
2,의창구,대산면,685,7784
3,의창구,의창동,1343,7784
4,의창구,팔룡동,595,7784
5,의창구,명곡동,1261,7784
6,의창구,봉림동,1143,7784
7,의창구,용지동,669,7784
8,성산구,반송동,697,3430
9,성산구,중앙동,504,3430
10,성산구,상남동,298,3430
11,성산구,사파동,840,3430
12,성산구,가음정동,585,3430
13,성산구,성주동,222,3430
14,성산구,웅남동,284,3430
15,마산합포구,구산면,498,10326
16,마산합포구,진동면,645,10326
17,마산합포구,진북면,411,10326
18,마산합포구,진전면,616,10326
19,마산합포구,현동,447,10326
20,마산합포구,가포동,66,10326
21,마산합포구,월영동,924,10326
22,마산합포구,문화동,766,10326
23,마산합포구,반월중앙동,923,10326
24,마산합포구,완월동,526,10326
25,마산합포구,자산동,711,10326
26,마산합포구,교방동,906,10326
27,마산합포구,오동동,1525,10326
28,마산합포구,합포동,626,10326
29,마산합포구,산호동,736,10326
30,마산회원구,내서읍,1848,8378
31,마산회원구,회원1동,868,8378
32,마산회원구,회원2동,532,8378
33,마산회원구,석전동,974,8378
34,마산회원구,회성동,550,8378
35,마산회원구,양덕1동,648,8378
36,마산회원구,양덕2동,701,8378
37,마산회원구,합성1동,537,8378
38,마산회원구,합성2동,516,8378
39,마산회원구,구암1동,536,8378
40,마산회원구,구암2동,438,8378
41,마산회원구,봉암동,230,8378
42,진해구,충무동,910,7043
43,진해구,여좌동,810,7043
44,진해구,태백동,560,7043
45,진해구,경화동,464,7043
46,진해구,병암동,451,7043
47,진해구,석동,296,7043
48,진해구,이동,501,7043
49,진해구,자은동,692,7043
50,진해구,덕산동,363,7043
51,진해구,풍호동,445,7043
52,진해구,웅천동,420,7043
53,진해구,웅동1동,311,7043
54,진해구,웅동2동,820,7043
