,구,구별 문화생활 수,동,동별 문화생활 수
0,성산구,11,반송동,1
1,성산구,11,중앙동,2
2,성산구,11,상남동,1
3,성산구,11,사파동,2
4,성산구,11,가음정동,3
5,성산구,11,성주동,1
6,성산구,11,웅남동,1
7,의창구,15,동읍,1
8,의창구,15,북면,0
9,의창구,15,대산면,1
10,의창구,15,의창동,3
11,의창구,15,팔룡동,2
12,의창구,15,명곡동,3
13,의창구,15,봉림동,3
14,의창구,15,용지동,2
15,진해구,0,충무동,0
16,진해구,0,여좌동,0
17,진해구,0,태백동,0
18,진해구,0,경화동,0
19,진해구,0,병암동,0
20,진해구,0,석동,0
21,진해구,0,이동,0
22,진해구,0,자은동,0
23,진해구,0,덕산동,0
24,진해구,0,풍호동,0
25,진해구,0,웅천동,0
26,진해구,0,웅동1동,0
27,진해구,0,웅동2동,0
28,마산합포구,0,구산면,0
29,마산합포구,0,진동면,0
30,마산합포구,0,진북면,0
31,마산합포구,0,진전면,0
32,마산합포구,0,현동,0
33,마산합포구,0,가포동,0
34,마산합포구,0,월영동,0
35,마산합포구,0,문화동,0
36,마산합포구,0,반월중앙동,0
37,마산합포구,0,완월동,0
38,마산합포구,0,자산동,0
39,마산합포구,0,오동동,0
40,마산합포구,0,교방동,0
41,마산합포구,0,합포동,0
42,마산합포구,0,산호동,0
43,마산회원구,0,내서읍,0
44,마산회원구,0,회원1동,0
45,마산회원구,0,회원2동,0
46,마산회원구,0,석전동,0
47,마산회원구,0,회성동,0
48,마산회원구,0,양덕1동,0
49,마산회원구,0,양덕2동,0
50,마산회원구,0,합성1동,0
51,마산회원구,0,합성2동,0
52,마산회원구,0,구암1동,0
53,마산회원구,0,구암2동,0
54,마산회원구,0,봉암동,0
