,구,구별 버스 정보 안내기 수,동,동별 버스 정보 안내기 수
0,창원시 진해구,165,중앙동(진),0
1,창원시 진해구,165,태평동,3
2,창원시 진해구,165,충무동,16
3,창원시 진해구,165,여좌동,16
4,창원시 진해구,165,태백동,2
5,창원시 진해구,165,경화동,23
6,창원시 진해구,165,병암동,0
7,창원시 진해구,165,석동,13
8,창원시 진해구,165,이동,7
9,창원시 진해구,165,자은동,23
10,창원시 진해구,165,덕산동,3
11,창원시 진해구,165,풍호동,16
12,창원시 진해구,165,웅천동,14
13,창원시 진해구,165,웅동1동,11
14,창원시 진해구,165,웅동2동,18
15,창원시 마산합포구,153,구산면,5
16,창원시 마산합포구,153,진동면,9
17,창원시 마산합포구,153,진북면,6
18,창원시 마산합포구,153,진전면,4
19,창원시 마산합포구,153,현동,13
20,창원시 마산합포구,153,가포동,1
21,창원시 마산합포구,153,월영동,25
22,창원시 마산합포구,153,문화동,8
23,창원시 마산합포구,153,반월동,1
24,창원시 마산합포구,153,중앙동(마),11
25,창원시 마산합포구,153,완월동,10
26,창원시 마산합포구,153,자산동,4
27,창원시 마산합포구,153,동서동,0
28,창원시 마산합포구,153,성호동,2
29,창원시 마산합포구,153,교방동,9
30,창원시 마산합포구,153,노산동,0
31,창원시 마산합포구,153,오동동,28
32,창원시 마산합포구,153,합포동,0
33,창원시 마산합포구,153,산호동,17
34,창원시 의창구,245,동읍,30
35,창원시 의창구,245,북면,29
36,창원시 의창구,245,대산면,6
37,창원시 의창구,245,의창동,29
38,창원시 의창구,245,팔룡동,56
39,창원시 의창구,245,명곡동,33
40,창원시 의창구,245,봉림동,31
41,창원시 의창구,245,용지동,31
42,창원시 마산회원구,187,내서읍,52
43,창원시 마산회원구,187,회원1동,31
44,창원시 마산회원구,187,회원2동,10
45,창원시 마산회원구,187,석전1동,1
46,창원시 마산회원구,187,석전2동,0
47,창원시 마산회원구,187,회성동,12
48,창원시 마산회원구,187,양덕1동,17
49,창원시 마산회원구,187,양덕2동,14
50,창원시 마산회원구,187,합성1동,18
51,창원시 마산회원구,187,합성2동,0
52,창원시 마산회원구,187,구암1동,19
53,창원시 마산회원구,187,구암2동,0
54,창원시 마산회원구,187,봉암동,13
55,창원시 성산구,197,반송동,47
56,창원시 성산구,197,중앙동(창),23
57,창원시 성산구,197,상남동,26
58,창원시 성산구,197,사파동,40
59,창원시 성산구,197,가음정동,24
60,창원시 성산구,197,성주동,14
61,창원시 성산구,197,웅남동,23
