,구,동,노인정 수
0,창원시 마산합포구,가포동,3
1,창원시 마산합포구,교방동,12
2,창원시 마산합포구,구산면,30
3,창원시 마산합포구,문화동,13
4,창원시 마산합포구,반월중앙동,16
5,창원시 마산합포구,산호동,11
6,창원시 마산합포구,오동동,21
7,창원시 마산합포구,완월동,10
8,창원시 마산합포구,월영동,33
9,창원시 마산합포구,자산동,14
10,창원시 마산합포구,진동면,33
11,창원시 마산합포구,진북면,30
12,창원시 마산합포구,진전면,45
13,창원시 마산합포구,합포동,10
14,창원시 마산합포구,현동,13
15,창원시 마산회원구,구암1동,7
16,창원시 마산회원구,구암2동,10
17,창원시 마산회원구,내서읍,63
18,창원시 마산회원구,봉암동,7
19,창원시 마산회원구,석전동,15
20,창원시 마산회원구,양덕1동,7
21,창원시 마산회원구,양덕2동,20
22,창원시 마산회원구,합성1동,8
23,창원시 마산회원구,합성2동,5
24,창원시 마산회원구,회성동,10
25,창원시 마산회원구,회원1동,8
26,창원시 마산회원구,회원2동,12
27,창원시 성산구,가음정동,19
28,창원시 성산구,반송동,12
29,창원시 성산구,사파동,20
30,창원시 성산구,상남동,9
31,창원시 성산구,성주동,12
32,창원시 성산구,웅남동,10
33,창원시 성산구,중앙동,13
34,창원시 의창구,대산면,50
35,창원시 의창구,동읍,66
36,창원시 의창구,명곡동,12
37,창원시 의창구,봉림동,15
38,창원시 의창구,북면,65
39,창원시 의창구,용지동,13
40,창원시 의창구,의창동,16
41,창원시 의창구,팔룡동,15
42,창원시 진해구,경화동,9
43,창원시 진해구,덕산동,7
44,창원시 진해구,병암동,5
45,창원시 진해구,석동,12
46,창원시 진해구,여좌동,15
47,창원시 진해구,웅동1동,16
48,창원시 진해구,웅동2동,24
49,창원시 진해구,웅천동,22
50,창원시 진해구,이동,8
51,창원시 진해구,자은동,16
52,창원시 진해구,중앙동,3
53,창원시 진해구,충무동,18
54,창원시 진해구,태백동,10
55,창원시 진해구,풍호동,19
